LicenseNumber,LicenseName,CE ID,LicenseType,LicenseStatus,County
89468956878290453653,DEEP ROOTS HARVEST INC.,RD398,Retail Dispensary,Active,CLARK
89609808832073380382,VEGAS VALLEY GROWERS NORTH LLC,T087,Retail Distributor,Active,Clark
89946375130130279835,MATRIX NV LLC,C150,Retail Cultivation,Active,CLARK
90871747675505722966,MATRIX NV LLC,T049,Retail Distributor,Active,CLARK
90933499176351138997,TRYKE COMPANIES SO NV LLC,P021,Retail Production,Active,CLARK
91478689709272683797,PURE TONIC CONCENTRATES LLC,T069,Retail Distributor,Active,WASHOE
91781014075623623744,ERP LLC,L008,Retail Laboratory,Active,CLARK
91945512284376080256,LAS VEGAS WELLNESS AND COMPASSION LLC,P045,Retail Production,Active,CLARK
92756922633355597858,WAVESEER OF LAS VEGAS LLC,T088,Retail Distributor,Active,CLARK
93968461789695028039,NEVADA WELLNESS CENTER LLC,D009,Retail Dispensary,Active,CLARK
94529609730879618408,SOUTHERN NEVADA GROWERS LLC,P090,Retail Production,Active,CLARK
94990085567833686204,CLOVER CREEK ORGANICS L.L.C.,C195,Retail Cultivation,Active,LINCOLN
95048400048491208130,GB SCIENCES LAS VEGAS LLC,P075,Retail Production,Active,CLARK
95236492630065454507,FIDELIS HOLDINGS LLC,P081,Retail Production,Active,CLARK
95291970896852649642,MINT CULTIVATION NV LLC,C008,Retail Cultivation,Non-Operational,CLARK
95511225987908029386,CLEAR RIVER LLC,P047,Retail Production,Active,CLARK
