Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
RushBudz Dispensary,77 Main St,South Bound Brook,NJ,08880,1,,1,,,Recreational cannabis |\nOffers delivery
Ruuted,14 Main St,Englishtown,NJ,07726,1,,1,,,Recreational cannabis |\nOffers delivery
Salt Air Botanicals,1127 Arctic Ave,Atlantic City,NJ,08401,1,,,1,,Microbusiness |\nRecreational cannabis
Scarlet Reserve Room,5 Hamilton Rd,Englishtown,NJ,07726,1,,1,,,Recreational cannabis |\nOffers delivery
Sea & Leaf,3860 Bayshore Rd,North Cape May,NJ,08204,1,,,,,Recreational cannabis
"""Shipwreck'd""",300 W Sylvania Ave,Neptune City,NJ,07753,1,,,,,Recreational cannabis
Shore House Canna,124 Sunset Blvd,Cape May,NJ,08204,1,,1,,,Recreational cannabis |\nOffers delivery
Simply Pure Trenton,1531 N Olden Ave,Ewing Township,NJ,08638,1,,,,,Recreational cannabis
Sky Cannabis,52 E Broad St unit 9,Hopewell,NJ,08525,1,,,,,Recreational cannabis
Social Dispensary,614 N Pearl St,Bridgeton,NJ,08302,1,,,1,,Microbusiness |\nRecreational cannabis
Somerset Green,729 Somerset St,Somerset,NJ,08873,1,,,,,Recreational cannabis
Soulflora,2713 NJ-23,Newfoundland,NJ,07435,1,,1,,,Recreational cannabis |\nOffers delivery
Sparkology,3231 NJ-27,Franklin Park,NJ,08823,1,,,,,Recreational cannabis
Spot 23 LLC,2915 NJ-23,Newfoundland,NJ,07435,1,,,1,,Microbusiness |\nRecreational cannabis
Springfield Ave Dispensary,1070 Springfield Ave,Irvington,NJ,07111,1,,,,,Recreational cannabis
Story Dispensary of Springfield,130 US-22,Springfield,NJ,07081,1,,,,,Recreational cannabis
SunnyTien,3004 Atlantic Ave,Atlantic City,NJ,08401,1,,1,,1,Recreational cannabis |\nOffers delivery |\nCannabis Consumption Area
Sussex Pharms,54 Main St,Sussex,NJ,07461,1,,,1,,Microbusiness |\nRecreational cannabis
"""Sweet Leaf's LLC""",21 S Tennessee Ave,Atlantic City,NJ,08401,1,,,,,Recreational cannabis
Sweetspot Dispensary Maplewood,751 Irvington Ave,Maplewood,NJ,07040,1,,,,,Recreational cannabis
Sweetspot River Edge,75 Rte 4,River Edge,NJ,07661,1,,,,,Recreational cannabis
Taste of Earth,108 Wheat Rd,Buena,NJ,08310,1,,,1,,Microbusiness |\nRecreational cannabis
