License_Number,Facility_Name,DBA,Facility_Type,Street,City,ZIP_Code,Expiration_Date,Date_Updated,Category,Sheet
403-00080,PRVT LBL LLC,SNEUDIES,Medical Marijuana Cultivation,2490 West 2nd Avenue,Denver,80223,7/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01838,PURE MEDICAL LLC,PURE,Medical Marijuana Cultivation,440 8th Street,Penrose,81240,7/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00325,R & B CONSULTING INC,IION CANNABIS,Medical Marijuana Cultivation,"4727 North Broadway, Unit G",Boulder,80304,2/28/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01009,RBF CORP,SINGLE SOURCE COLORADO,Medical Marijuana Cultivation,621 South Jason Street,Denver,80223,4/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01766,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,Medical Marijuana Cultivation,10555 East 45th Avenue,Denver,80239,2/19/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01801,RJJ HIGHLANDS LLC,NATIVE ROOTS HIGHLANDS,Medical Marijuana Cultivation,4990 North Dahlia Street,Denver,80216,4/15/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01005,ROCKY MOUNTAIN MEDICAL LLC,,Medical Marijuana Cultivation,616 Arrawanna Street,Colorado Springs,80909,9/14/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01619,RR SERVICES LLC,BLOOM COUNTY,Medical Marijuana Cultivation,2252 South Kalamath Street,Denver,80223,3/12/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01756,RUBII LLC,,Medical Marijuana Cultivation,"6859 North Foothills Highway, Unit C-400",Boulder,80302,12/28/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01687,SL CHEROKEE LLC,SNAXLAND,Medical Marijuana Cultivation,1155 South Cherokee Street,Denver,80223,6/13/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01345,SL JET WING LLC,SNAXLAND,Medical Marijuana Cultivation,1675 Jet Wing Drive,Colorado Springs,80916,9/9/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00450,SOHI CANNABIS COMPANY LLC,,Medical Marijuana Cultivation,2744 West 4th Avenue,Denver,80219,7/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01418,SOLACE MEDS LLC,,Medical Marijuana Cultivation,1736-1740 Willox Court,Fort Collins,80524,11/25/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01337,SOLACE MEDS OF WHEAT RIDGE LLC,,Medical Marijuana Cultivation,4845 Van Gordon Street,Wheat Ridge,80033,8/30/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01271,STONE T.M.C. LLC,THE STONE,Medical Marijuana Cultivation,1828 South Bannock Street,Denver,80223,8/8/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01733,SUNHOUSE COLORADO LLC,SUNHOUSE,Medical Marijuana Cultivation,4640 North Ironton Street,Denver,80239,12/18/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02342,SUNRISE SOLUTIONS,,Medical Marijuana Cultivation,43 Main Street,Bailey,80421,4/26/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02393,SUNSHINE BROADWAY LLC,SUNSHINE; SUNSHINE FLOWER; SUNSHINE NORTH,Medical Marijuana Cultivation,4939 Broadway Street Unit 55 & 56,Boulder,80304,8/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01945,SUNSHINE EXTRACTS LLC,SUNSHINE,Medical Marijuana Cultivation,7183 Arapahoe Road Unit A,Boulder,80303,8/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01999,SUNSHINE II LLC,,Medical Marijuana Cultivation,"7183 Arapahoe Road, Unit B",Boulder,80301,9/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02394,SUNSHINE NORTH LLC,SUNSHINE FLOWER,Medical Marijuana Cultivation,6859 North Foothills Highway Building G,Boulder,80302,8/9/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00685,SUSTAINABLE HEALTH LLC,14ER GARDENS,Medical Marijuana Cultivation,1840 Commerce Street Units D & E,Boulder,80301,9/17/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00912,SWEET LEAF PIONEER LLC,,Medical Marijuana Cultivation,825A Chambers Avenue,Eagle,81631,9/7/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01499,SWEETWATER PARTNERS LLC,WS EL JEFE,Medical Marijuana Cultivation,4260 Kearney Street,Denver,80216,10/3/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01304,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Cultivation,2280 East Bijou Street,Colorado Springs,80909,6/20/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00575,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Cultivation,2565 Weston Road,Colorado Springs,80910,6/6/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01819,THE EPIC REMEDY LLC,THE ER,Medical Marijuana Cultivation,2585 Weston Road,Colorado Springs,80910,5/26/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01091,THE GREEN BUILDING LLC,,Medical Marijuana Cultivation,1397 South Cherokee Street,Denver,80223,12/12/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00208,THE GREEN SOLUTION LLC,,Medical Marijuana Cultivation,4394 North Grape Street,Denver,80216,3/5/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01742,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Cultivation,2304 East Bijou Street,Colorado Springs,80909,12/4/2026,2026-04-02 00:00:00,Cultivations,Medical
403-00867,THE HEALING CANNA LLC,HEALING CANNA,Medical Marijuana Cultivation,3330 South Drennan Industrial Loop,Colorado Springs,80909,5/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01132,THE HERB SHOPPE LLC,THE HERB SHOPPE,Medical Marijuana Cultivation,"3020 West Colorado Avenue, Suite B & C",Colorado Springs,80904,8/9/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01422,THE ORGANIC SEED LLC,FUMO,Medical Marijuana Cultivation,41 North Precision Drive,Pueblo West,81007,11/19/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01585,THREE RIVERS DEVELOPMENT LLC,THREE RIVERS DISPENSARY,Medical Marijuana Cultivation,83 North Magneto Drive,Pueblo West,81007,12/31/2026,2026-04-02 00:00:00,Cultivations,Medical
403-02386,TNT BOTANICALS LLC,POT ZERO,Medical Marijuana Cultivation,11157 Gypsum Creek Road,Gypsum,81637,6/3/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01767,TOTAL GREEN LLC,TOTAL GREEN,Medical Marijuana Cultivation,1105 South Chelton Road,Colorado Springs,80910,3/2/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01563,TRINIDADS HIGHER CALLING U LLC,,Medical Marijuana Cultivation,1000 Independence Road,Trinidad,81082,11/5/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01660,TROY ENTERPRISES LLC,ELEVATIONS,Medical Marijuana Cultivation,8270 Razorback Road,Colorado Springs,80920,5/24/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01618,URBANE DEVELOPERS LLC,CHERRY,Medical Marijuana Cultivation,2191 South Jason Street,Denver,80223,4/22/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01536,VIOLA INC,VIOLA'S EXTRACTS,Medical Marijuana Cultivation,4645 North Joliet Street,Denver,80239,9/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00664,VIREO HEALTH OF DENVER METRO LLC,GROW FORTH GARDENS,Medical Marijuana Cultivation,4715 North Colorado Boulevard,Denver,80216,9/14/2027,2026-04-02 00:00:00,Cultivations,Medical
403-00493,VIRGIN MARY LLC,,Medical Marijuana Cultivation,2731 West Short Place,Denver,80204,6/28/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01509,WELLNESS CENTER OF THE ROCKIES INC,THE CENTER,Medical Marijuana Cultivation,2130 South Lipan Street,Denver,80223,9/21/2027,2026-04-02 00:00:00,Cultivations,Medical
403-02406,WELLNESS CENTERS OF COLORADO LLC,FLAVORS,Medical Marijuana Cultivation,2755 Ore Mill Road #13-14,Colorado Springs,80904,9/4/2027,2026-04-02 00:00:00,Cultivations,Medical
403-01726,WESTWARD SUMMIT LLC,HIGH COUNTRY HEALING,Medical Marijuana Cultivation,"4242 North Elizabeth Street, Unit 1 & 2",Denver,80216,10/30/2026,2026-04-02 00:00:00,Cultivations,Medical
403-01474,YETI FARMS LLC,YETI FARMS LLC,Medical Marijuana Cultivation,1650 Siloam Road,Pueblo,81005,6/19/2027,2026-04-02 00:00:00,Cultivations,Medical
403R-00537,1-11 LLC,1:11,Retail Marijuana Cultivation Facility,54414 County Road F,Center,81125,5/21/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01454,1395 SOUTH ACOMA LLC,STELLAR DECON; STELLAR CANNABIS,Retail Marijuana Cultivation Facility,1395 South Acoma Street,Denver,80223,5/19/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00885,1790 POPE VALLEY LLC,CANNA TEK,Retail Marijuana Cultivation Facility,1790 Pope Valley Ranch Road,Pueblo,81005,2/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01401,1CURE LLC,,Retail Marijuana Cultivation Facility,7835 Maverick Lane,Ordway,81063,4/25/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00692,2205 POPE VALLEY LLC,CANNA TEK,Retail Marijuana Cultivation Facility,2205 Pope Valley Ranch Road,Pueblo,81005,3/14/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01466,3 SISTERS CANNABIS LLC,3 SISTERS CANNABIS,Retail Marijuana Cultivation Facility,218 Norml Lane,Moffat,81143,2/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00011,30 LLC,,Retail Marijuana Cultivation Facility,695 North Bryant Street,Denver,80204,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00058,4611 EXPANSION LLC,,Retail Marijuana Cultivation Facility,4655 East 46th Avenue,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01019,4985 HOLDINGS LLC,,Retail Marijuana Cultivation Facility,4985 Colorado Boulevard,Denver,80216,9/10/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00670,7415 LLC,,Retail Marijuana Cultivation Facility,7415 Rex Road,Pueblo,81005,2/8/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00503,A2ZINC LLC,AJS,Retail Marijuana Cultivation Facility,2177 57th Lane,Boone,81025,3/26/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01162,ACES PLACE LLC,GREEN ROOSTER,Retail Marijuana Cultivation Facility,14621 County Road 98,Nunn,80648,7/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01024,AD FARMS LLC,,Retail Marijuana Cultivation Facility,6473 Galbreth Road,Pueblo,81005,12/6/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00734,AF INC,APOTHECARY FARMS,Retail Marijuana Cultivation Facility,3415 Riddell Place,Colorado City,81019,5/17/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00087,ALL PRO FARMS ALAMEDA LLC,ROCKY MOUNTAIN HIGH,Retail Marijuana Cultivation Facility,1233 West Alameda Avenue,Denver,80223,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00783,ALL PRO FARMS LLC,,Retail Marijuana Cultivation Facility,1500 US Highway 85/87,Walsenburg,81089,8/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00548,ALLGREENS LLC,,Retail Marijuana Cultivation Facility,2291 South Kalamath Street,Denver,80223,5/24/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01360,ALPACA BUD COMPANY LLC,POTCO,Retail Marijuana Cultivation Facility,11101 East 51st Avenue,Denver,80239,12/23/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01409,ALPINE ALCHEMY LLC,,Retail Marijuana Cultivation Facility,260 Griffing Road,Gunnison,81230,5/31/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00513,ALPINE ESSENTIALS LLC,ALPINE ESSENTIALS,Retail Marijuana Cultivation Facility,850 A & B Commerical Lane,Palmer Lake,80133,4/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00763,ALPINE WELLNESS LLC,ALPINE WELLNESS,Retail Marijuana Cultivation Facility,557 Woodstock Road,Norwood,81423,6/28/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01511,ALTERNATIVE HEALTH CORP,ALTERNATIVE HEALTH CORP,Retail Marijuana Cultivation Facility,8032 Maverick Lane,Ordway,81063,4/10/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00200,ALTERNATIVE HOLISTIC HEALING LLC,ROCKY MOUNTAIN ORGANICS,Retail Marijuana Cultivation Facility,"5312 Highway 119, Unit B",Black Hawk,80422,1/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00953,ANGEL FARMS LLC,,Retail Marijuana Cultivation Facility,60800 Highway 96 East,Boone,81025,5/16/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00550,ANIMAS HERBAL WELLNESS CENTER INC,PROHIBITION HERB,Retail Marijuana Cultivation Facility,1115 South Bannock Street,Denver,80223,5/26/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00163,ANTERO SCIENCES LLC,,Retail Marijuana Cultivation Facility,7851 County Road 150,Salida,81201,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01333,ARDO HOLDING LLC,,Retail Marijuana Cultivation Facility,"5200 East Smith Road, Suite 110",Denver,80216,9/2/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01222,ARKANSAS VALLEY ORGANICS LLC,ARKANSAS VALLEY ORGANICS,Retail Marijuana Cultivation Facility,8421 Maverick Lane,Ordway,81063,7/15/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01481,ASTRONUGZ LLC,,Retail Marijuana Cultivation Facility,714 Mayor Patricia Reigel Boulevard,Moffat,81143,8/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01420,B LEAF LLC,,Retail Marijuana Cultivation Facility,19879 Tamarack Lane,Ordway,81063,6/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01520,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,50764 Country Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01516,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,50952 County Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01517,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,50954 County Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01518,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,50956 Country Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01519,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,50958 County Rd U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01514,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,51002 County Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01515,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,51004 County Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01521,BANGI FIREWOOD,,Retail Marijuana Cultivation Facility,51248 County Road U,Saguache,81149,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01032,BEAR WITH US LLC,,Retail Marijuana Cultivation Facility,6401 Galbreth Road,Pueblo,81005,12/18/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00287,BEDDOR CLAUDE LLC,CHRONIC THERAPY,Retail Marijuana Cultivation Facility,10030 West 27th Avenue,Wheat Ridge,80215,8/6/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00897,BEST BUDZ LLC,BEST BUDZ,Retail Marijuana Cultivation Facility,33622 County Road 58EE,Villa Grove,81155,2/17/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01545,BHG ENTERPRISES LLC,,Retail Marijuana Cultivation Facility,"19623 County Road H, Suite C",Ordway,81063,9/26/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01223,BIOMEDS RECREATIONAL WHOLESALE LLC,,Retail Marijuana Cultivation Facility,8488 Maverick Lane,Ordway,81063,7/17/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00450,BK HOLDINGS LLC,,Retail Marijuana Cultivation Facility,12001 East 37th Avenue,Denver,80239,1/21/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00481,BK HOLDINGS LLC,THE HERBAL CENTER,Retail Marijuana Cultivation Facility,12005 East 37th Avenue,Denver,80239,3/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00137,BLAZIN OG LLC,,Retail Marijuana Cultivation Facility,4995 North Lima Street,Denver,80239,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01283,BLUE EARTH CANNABIS LLC,BLUE EARTH FARMS,Retail Marijuana Cultivation Facility,65495 County Road Z,Moffat,81143,4/19/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00467,BOONE FARMS LLC,,Retail Marijuana Cultivation Facility,60710 Highway 96 East,Boone,81025,2/2/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01044,BOULDER BUILT LLC,,Retail Marijuana Cultivation Facility,5305 Vasquez Boulevard,Commerce City,80022,1/30/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00930,BUD FOX ENTERPRISES LLC,,Retail Marijuana Cultivation Facility,"14896 East 38th Avenue, Unit C",Aurora,80011,4/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01434,BUD WITH ATTITUDE LLC,,Retail Marijuana Cultivation Facility,440 Broadway,Moffat,81143,9/23/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01538,BUDS INC LLC,,Retail Marijuana Cultivation Facility,19655 Tamarack Lane,Ordway,81063,6/24/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00135,BUILDING BETTER DAYS LLC,REEFER MADNESS,Retail Marijuana Cultivation Facility,"4425 East 46th Avenue, Unit A",Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01059,BULLYS FARMS LLC,,Retail Marijuana Cultivation Facility,6395 Galbreth Road,Pueblo,81005,3/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01126,CADBIS LLC,"MAD FLOWER FARMS, APROPOS",Retail Marijuana Cultivation Facility,711 Mayor Patricia Reigel Boulevard,Moffat,81143,2/12/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00575,CALISTOS GARDEN LLC,,Retail Marijuana Cultivation Facility,2257 South Kalamath Street,Denver,80223,8/23/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01544,CAMO ROSE LLC,,Retail Marijuana Cultivation Facility,3052 Delta Drive,Colorado Springs,80910,9/4/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00350,CANA CLUB LLC,BEST BUDS,Retail Marijuana Cultivation Facility,"11900 East 33rd Avenue, Suite 2",Aurora,80010,10/1/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-01087,CANNA STIX LLC,,Retail Marijuana Cultivation Facility,6480 Galbreth Road,Pueblo,81005,5/22/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00109,CANNABIS BROTHERS HOLDING COMPANY INC,CBHC INC,Retail Marijuana Cultivation Facility,4900 North Jackson Street,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00884,CANNABIS FOR HEALTH LLC,PIG 'N' WHISTLE,Retail Marijuana Cultivation Facility,155 South Pecos Street,Denver,80223,2/6/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01480,CANNAVULTURES LLC,CANNAVULTURES,Retail Marijuana Cultivation Facility,724 North Reigel Court,Moffat,81143,7/29/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01378,CASA VERDE FARMS LLC,,Retail Marijuana Cultivation Facility,20304 Tamarack Lane,Ordway,81063,2/16/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01540,CC AG LLC,BLACK & WHITE CANNABIS,Retail Marijuana Cultivation Facility,2211 East Boulder Street,Colorado Springs,80909,7/14/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00443,CC TRINIDAD LLC,SMOKEY'S,Retail Marijuana Cultivation Facility,422 North Commercial Street,Trinidad,81082,1/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00326,CCC INC,THE HAPPY CAMPER CANNABIS COMPANY,Retail Marijuana Cultivation Facility,80 Rosalie Road,Bailey,80421,10/1/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00391,CCK CORP,THA CORP HERBAL ALTERNATIVE,Retail Marijuana Cultivation Facility,1531 Lebanon Road,Cortez,81321,10/27/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00005,CCS OF COLORADO LLC,CALLIE'S,Retail Marijuana Cultivation Facility,777 North Canosa Court,Denver,80204,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00802,CG INDUSTRY LLC,CROSS GENETICS,Retail Marijuana Cultivation Facility,4902 East Smith Road Unit C,Denver,80216,8/31/2026,2026-04-02 00:00:00,Cultivations,Retail
403R-00981,CGFR GROUP INC,CUBAN CREW COLORADO,Retail Marijuana Cultivation Facility,"5301 Vasquez Boulevard, Unit 102",Commerce City,80022,7/24/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01236,CHRONIC THERAPY-CORTEZ LLC,CHRONIC CULTIVATION,Retail Marijuana Cultivation Facility,1020 South Broadway,Cortez,81321,9/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01103,CLEARWATER BUDS LLC,,Retail Marijuana Cultivation Facility,77 North Laser Drive Suite H,Pueblo West,81007,8/13/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01095,CLEARWATER CAMPUS LLC,,Retail Marijuana Cultivation Facility,24 North Research Drive,Pueblo West,81007,6/20/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00730,CLEARWATER EXOTICS LLC,,Retail Marijuana Cultivation Facility,168 East Assembly Drive,Pueblo West,81007,5/9/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01043,CO DEVELOPMENT HOLDINGS INC,HOST CANNABIS COMPANY,Retail Marijuana Cultivation Facility,"3555 North Moline Street, Unit A",Aurora,80010,2/22/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00986,COLLECTED SUN LLC,COLLECTED SUN,Retail Marijuana Cultivation Facility,6183 Red Creek Springs Road West,Pueblo,81005,7/31/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-01423,COLORADO CARE LLC,,Retail Marijuana Cultivation Facility,20252 Grassland Lane,Ordway,81063,6/13/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00053,COLORADO KIND HOLDINGS LLC,CLARITY GARDENS,Retail Marijuana Cultivation Facility,"4600 North Ironton Street, Unit 101",Denver,80239,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00508,COLORADO LEAF LLC,,Retail Marijuana Cultivation Facility,8217 Red Creek Springs Road,Pueblo,81005,4/7/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00088,COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,Retail Marijuana Cultivation Facility,6666 East 44th Avenue,Denver,80216,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
403R-00159,CSV CO LLC,710 LABS,Retail Marijuana Cultivation Facility,1403 South Cherokee Street,Denver,80223,1/1/2027,2026-04-02 00:00:00,Cultivations,Retail
