"Record Type Code","Record Type","License Type","Business Entity Type","Status","County","State"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lauderdale","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Prentiss","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Attala","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Madison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lamar","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Bolivar","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Lee","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Harrison","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","DeSoto","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Rankin","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Approved","Forrest","MS"
"MS-DOH-PHYR","Practitioner Registration Renewal",,,"Denied","Jackson","MS"
