Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0TADAA3,00038309,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000006ke4ZAAQ&facilityId=001t000000L0TADAA3,,Establishment,00000085ESVF25061802,Closed (Complete)
001t000000L0TADAA3,00063939,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008fdMUAAY&facilityId=001t000000L0TADAA3,,Dispensary,00000083DCYO00463840,Closed (Complete)
001t000000L0TADAA3,00085405,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000B3ptfAAB&facilityId=001t000000L0TADAA3,6/17/2024,Establishment,00000085ESVF25061802,Closed (Complete)
001t000000L0TADAA3,00159523,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001WmqsbAAB&facilityId=001t000000L0TADAA3,3/25/2026,Establishment,00000085ESVF25061802,Finalized
001t000000L0TA5AAN,00061196,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008ADtqAAG&facilityId=001t000000L0TA5AAN,12/12/2023,Establishment,00000083ESGB09219996,Closed (Complete)
001t000000L0TA5AAN,00061195,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008AB7KAAW&facilityId=001t000000L0TA5AAN,12/14/2023,Dispensary,00000103DCDR00369521,Closed (Complete)
001t000000L0TAbAAN,00081945,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AUTwpAAH&facilityId=001t000000L0TAbAAN,4/19/2024,Dispensary,00000088DCXB00897085,Closed (Complete)
001t000000L0TAbAAN,00085011,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AzmhxAAB&facilityId=001t000000L0TAbAAN,6/3/2024,Establishment,00000092ESKW00353670,Closed (Complete)
001t000000L0TAbAAN,00152045,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001H33zxAAB&facilityId=001t000000L0TAbAAN,12/16/2025,Dispensary,00000088DCXB00897085,Closed (Complete)
001t000000L0TAeAAN,00087590,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000001vIZ7AAM&facilityId=001t000000L0TAeAAN,9/17/2024,Dispensary,00000093DCBC00293679,Closed (Complete)
001t000000L0TAfAAN,00085862,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000B8teHAAR&facilityId=001t000000L0TAfAAN,6/24/2024,Establishment,00000117ESPN93487198,Closed (Complete)
001t000000L0TAjAAN,00090499,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000A1Mf3AAF&facilityId=001t000000L0TAjAAN,10/15/2024,Dispensary,00000099DCPL00826691,Closed (Complete)
001t000000L0TAhAAN,00084673,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000AwiHSAAZ&facilityId=001t000000L0TAhAAN,6/10/2024,Establishment,00000102ESWC76772229,Closed (Complete)
